cofids_food_code,name,description,protein,fat,carbohydrate,kcal
16-093,"Monkfish, grilled","Calculated from raw, pieces from tail end; flesh only",0.227,0.006,0,0.96
16-094,"Monkfish, grilled, weighed with bones",Calculated from grilled,0.175,0.004,0,0.74
16-095,"Mullet, Grey, raw",Literature sources,0.198,0.04,0,1.15
16-107,"Plaice, frozen, grilled, weighed with bones and skin",Calculated from grilled,0.234,0.018,0,1.1
16-097,"Mullet, Grey, grilled, weighed with bones and skin",Calculated from grilled,0.141,0.029,0,0.82
16-128,"Red snapper, fried in blended oil, weighed with bones and skin",Calculated from fried in blended oil,0.125,0.016,0,0.64
16-099,"Mullet, Red, grilled","6 samples, grilled for 7 minutes, whole fish with guts removed; flesh only",0.204,0.044,0,1.21
16-100,"Mullet, Red, grilled, weighed with bones and skin",Calculated from grilled,0.096,0.021,0,0.57
16-101,"Parrot fish, raw",Literature sources,0.199,0.004,0,0.83
16-102,"Plaice, raw","8 fish purchased whole, and literature sources",0.167,0.014,0,0.79
16-103,"Plaice, grilled","Calculated from raw, whole fish, heads removed and fillets; flesh only",0.201,0.017,0,0.96
16-104,"Plaice, grilled, weighed with bones and skin",Calculated from grilled,0.147,0.012,0,0.7
16-131,"Redfish, raw",Literature sources,0.184,0.027,0,0.98
16-106,"Plaice, frozen, grilled","12 samples, grilled 7 minutes per side, fillets; flesh only",0.257,0.02,0,1.21
16-096,"Mullet, Grey, grilled","Calculated from raw, whole fish with guts removed; flesh only",0.257,0.052,0,1.5
16-163,"Whiting, in crumbs, fried in blended oil, weighed with bones and skin","Calculated from fried in blended oil, 16-162",0.163,0.093,0.063,1.72
16-129,"Red snapper, fried in sunflower oil","10 whole fish, shallow fried for 7 minutes per side; flesh only",0.245,0.031,0,1.26
16-152,"Skate, in batter, fried in sunflower oil",6 samples purchased from fish and chip shops,0.147,0.101,0.049,1.68
16-153,"Skate, in batter, fried in sunflower oil, weighed with bones",Calculated from fried in sunflower oil,0.125,0.086,0.042,1.43
16-154,"Tilapia, raw",Literature sources. Type of bream,0.178,0.015,0,0.85
16-155,"Turbot, raw",Literature sources,0.177,0.027,0,0.95
16-157,"Turbot, grilled, weighed with bones and skin",Calculated from grilled,0.141,0.021,0,0.76
16-159,"Whiting, raw","11 samples from assorted outlets, whole fish and fillets",0.187,0.007,0,0.81
16-160,"Whiting, steamed","Analysis and calculation from steamed, flesh only",0.209,0.009,0,0.92
16-150,"Skate, in batter, fried in retail blend oil","6 samples purchased from fish and chip shops, fatty acids calculated",0.147,0.101,0.049,1.68
16-162,"Whiting, in crumbs, fried in blended oil",Fillets coated in crumbs and fried,0.181,0.103,0.07,1.91
16-149,"Skate, in batter, fried in dripping, weighed with bones",Calculated from fried in dripping,0.125,0.086,0.042,1.43
16-164,"Whiting, in crumbs, fried in dripping",Fillets coated in crumbs and fried,0.181,0.103,0.07,1.91
16-165,"Whiting, in crumbs, fried in dripping, weighed with bones and skin",Calculated from fried in dripping,0.163,0.093,0.063,1.72
16-166,"Whiting, in crumbs, fried in sunflower oil",Fillets coated in crumbs and fried,0.181,0.103,0.07,1.91
16-167,"Whiting, in crumbs, fried in sunflower oil, weighed with bones and skin",Calculated from fried in sunflower oil,0.163,0.093,0.063,1.72
16-172,"Carp, raw",Literature sources,0.175,0.047,0,1.12
16-186,"Katla, raw",Ref 2 and literature sources. Imported frozen from Bangladesh,0.195,0.024,0,1
16-340,"Coley, steamed","Analytical and calculated values, pieces from tail end; flesh only",0.233,0.013,0,1.05
16-341,"Coley, steamed, weighed with bones and skin",Calculated from steamed 16-340,0.198,0.011,0,0.89
16-161,"Whiting, steamed, weighed with bones and skin",Calculated from steamed 16-160,0.194,0.008,0,0.85
16-140,"Rock Salmon/Dogfish, in batter, fried in sunflower oil","Samples as fried in retail blend oil, fatty acids calculated",0.147,0.219,0.103,2.95
16-130,"Red snapper, fried in sunflower oil, weighed with bones and skin",Calculated from fried in sunflower oil,0.125,0.016,0,0.64
16-156,"Turbot, grilled","Calculated from raw, whole fish and fillets; flesh only",0.227,0.035,0,1.22
16-132,"Rohu, raw",Ref 2. Imported frozen from Bangladesh,0.166,0.014,0,0.79
16-133,"Rock Salmon/Dogfish, raw",Data from Seafish Industry Authority and literature sources,0.166,0.097,0,1.54
16-134,"Rock Salmon/Dogfish, in batter, fried in blended oil","Samples as fried in retail blend oil, fatty acids calculated",0.147,0.219,0.103,2.95
16-135,"Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones",Calculated from fried in blended oil 16-134,0.137,0.204,0.096,2.74
16-136,"Rock Salmon/Dogfish, in batter, fried in dripping",Samples as fried in retail blend oil 16-138 fatty acids calculated,0.147,0.219,0.103,2.95
16-137,"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones",Calculated from fried in dripping 16-136,0.137,0.204,0.096,2.74
16-151,"Skate, in batter, fried in retail blend oil, weighed with bones",Calculated from fried in retail blend oil,0.125,0.086,0.042,1.43
16-139,"Rock Salmon/Dogfish, in batter, fried in retail blend oil, weighed with bones",Calculated from fried in retail blend oil,0.137,0.204,0.096,2.74
16-087,"Lemon sole, goujons, baked",Calculated from manufacturers' proportions,0.16,0.146,0.147,1.87
16-141,"Rock Salmon/Dogfish, in batter, fried in sunflower oil, weighed with bones",Calculated from fried in sunflower oil,0.137,0.204,0.096,2.74
16-142,"Shark, raw",Data from Seafish Industry Authority and literature sources,0.23,0.011,0,1.02
16-143,"Skate, raw",Data from Seafish Industry Authority and literature sources,0.151,0.004,0,0.64
16-144,"Skate, grilled",Calculated from raw,0.189,0.005,0,0.79
16-145,"Skate, grilled, weighed with bones","Calculated from grilled, wings",0.14,0.003,0,0.59
16-146,"Skate, in batter, fried in blended oil","Samples as fried in retail blend oil, 16-150 fatty acids calculated",0.147,0.101,0.049,1.68
16-147,"Skate, in batter, fried in blended oil, weighed with bones",Calculated from fried in blended oil  16-146,0.125,0.086,0.042,1.43
16-148,"Skate, in batter, fried in dripping","Samples as fried in retail blend oil, fatty acids calculated",0.147,0.101,0.049,1.68
16-138,"Rock Salmon/Dogfish, in batter, fried in retail blend oil","10 samples purchased from fish and chip shops, fatty acids calculated",0.147,0.219,0.103,2.95
16-034,"Coley, frozen, raw","10 samples, 5 brands; steaks",0.164,0.009,0,0.74
16-022,"Cod, in batter, fried in dripping","Samples as fried in retail blend oil, fatty acids calculated",0.161,0.154,0.117,2.47
16-023,"Cod, in batter, fried in retail blend oil","24 samples from fish and chip shops, fatty acids calculated",0.161,0.154,0.117,2.47
16-024,"Cod, in batter, fried in sunflower oil","Samples as fried in retail blend oil, fatty acids calculated",0.161,0.154,0.117,2.47
16-025,"Cod, coated in batter, frozen, baked","5 samples, different brands; baked for 20 minutes",0.128,0.118,0.143,2.11
16-026,"Cod, coated in batter, frozen, baked, weighed with bones",Calculated from baked,0.114,0.105,0.127,1.88
16-027,"Cod, coated in crumbs, frozen, fried in blended oil","10 samples, 7 brands; shallow fried in blended oil, 5 minutes per side",0.124,0.143,0.152,2.35
16-028,"Cod, smoked, raw","Samples from assorted outlets, salted and smoked; flesh only",0.183,0.006,0,0.79
16-029,"Cod, smoked, poached","Samples poached in milk, butter added",0.216,0.016,0,1.01
16-043,"Flying fish, raw",Literature sources,0.21,0.003,0,0.86
16-031,"Coley, raw",Literature sources and estimation from frozen coley,0.183,0.01,0,0.82
16-019,"Cod, frozen, raw",11 samples from assorted supermarkets; steaks,0.167,0.006,0,0.72
16-035,"Conger eel, raw",Literature sources,0.181,0.046,0,1.14
16-036,"Conger eel, grilled","Calculated from raw, steaks; flesh only",0.217,0.055,0,1.37
16-037,"Conger eel, grilled, weighed with bones and skin",Calculated from grilled,0.113,0.029,0,0.71
16-038,"Dab, raw",Ref 4 and literature sources,0.157,0.012,0,0.74
16-039,"Dover sole, raw",Ref 4 and literature sources,0.181,0.018,0,0.89
16-040,"Flounder, raw",Literature sources,0.164,0.018,0,0.82
16-041,"Flounder, steamed","Analysis and calculation from raw, whole fish without heads; flesh only",0.203,0.022,0,1.01
16-042,"Flounder, steamed, weighed with bones and skin",Calculated from steamed,0.114,0.012,0,0.57
16-030,"Cod, in parsley sauce, frozen, boiled","10 samples, 4 brands; boiled in bag for 20 minutes",0.12,0.028,0.028,0.84
16-010,"Chinese salted fish, steamed","8 assorted varieties, bones removed",0.339,0.022,0,1.55
50-572,"Cod, dried, salted, boiled",Soaked 24 hours and boiled,0.325,0.009,0,1.38
16-158,"White fish, dried, salted",Samples purchased whole from West Indian outlets,0.345,0.011,0,1.48
16-086,"Lemon sole, steamed, weighed with bones and skin",Calculated from steamed 16-085,0.146,0.006,0,0.64
16-001,"Ayr, raw",Ref 2. Imported frozen from Bangladesh,0.159,0.013,0,0.75
16-002,"Bass, Sea, raw",Analytical and literature sources,0.193,0.025,0,1
16-003,"Bele, raw",Literature sources. Imported frozen from Bangladesh,0.153,0.007,0,0.67
16-005,Bombay duck,Literature sources. Salted dried fish,0.617,0.04,0,2.83
16-007,"Catfish, raw",Literature sources,0.176,0.028,0,0.96
16-021,"Cod, in batter, fried in blended oil","Samples as fried in retail blend oil, fatty acids calculated",0.161,0.154,0.117,2.47
16-009,"Catfish, steamed, weighed with bones",Calculated from steamed,0.182,0.031,0,1.01
16-020,"Cod, frozen, grilled","12 samples, grilled with butter and salt added; steaks",0.208,0.013,0,0.95
16-011,"Chital, raw",Refs 2 and 5. Imported frozen from Bangladesh,0.181,0.019,0,0.9
16-012,"Cod, raw","11 samples from assorted outlets, fillets",0.183,0.007,0,0.8
16-013,"Cod, baked","Baked in the oven with added butter, fillets; flesh only",0.214,0.012,0,0.96
16-014,"Cod, baked, weighed with bones and skin","Calculated from baked in the oven with added butter, fillets; flesh only 16-013",0.182,0.01,0,0.82
16-015,"Cod, poached","Poached in milk, butter and salt added, fillets; flesh only",0.209,0.011,0,0.94
16-016,"Cod, poached, weighed with bones and skin",Calculated from poached 16-015,0.182,0.01,0,0.81
16-017,"Cod, steamed","Middle cuts, flesh only",0.186,0.009,0,0.83
16-018,"Cod, steamed, weighed with bones and skin",Calculated from steamed,0.151,0.007,0,0.67
16-006,"Bream, Sea, raw",Literature sources,0.175,0.029,0,0.96
16-008,"Catfish, steamed",Middle cuts; flesh only,0.214,0.037,0,1.19
16-077,"Halibut, poached, weighed with bones and skin",Calculated from poached,0.227,0.053,0.01,1.42
16-067,"Haddock, smoked, poached, weighed with bones and skin",Calculated from poached,0.168,0.055,0.01,1.21
16-068,"Haddock, smoked, steamed","Analysis and calculation from raw, cutlets; flesh only",0.233,0.009,0,1.01
16-069,"Haddock, smoked, steamed, weighed with bones and skin",Calculated from steamed 16-068,0.151,0.006,0,0.66
16-070,"Hake, raw",Literature sources,0.18,0.022,0,0.92
16-071,"Hake, grilled","Calculated from raw, steaks; flesh only",0.222,0.027,0,1.13
16-072,"Hake, grilled, weighed with bones and skin",Calculated from grilled,0.144,0.018,0,0.74
16-073,"Halibut, raw",Literature sources,0.215,0.019,0,1.03
16-074,"Halibut, grilled","Calculated from raw, cutlets and steaks; flesh only",0.253,0.022,0,1.21
16-066,"Haddock, smoked, poached","Fish 100g, milk 25g and butter 6g. Calculated from raw, cutlets; flesh only",0.187,0.061,0.011,1.34
16-076,"Halibut, poached","Fish 100g, milk 20g and butter 3g. Calculated from raw, cutlets and steaks; flesh only",0.247,0.057,0.011,1.54
16-081,"Kalabasu, raw",Ref 2. Imported frozen from Bangladesh,0.147,0.01,0,0.68
16-078,"Hoki, raw",Literature sources. White fleshed fish from New Zealand,0.169,0.019,0,0.85
16-079,"Hoki, grilled","Calculated from raw, fillets",0.241,0.027,0,1.21
16-080,"John Dory, raw",Analytical and literature sources,0.19,0.014,0,0.89
16-082,"Lemon sole, raw",Literature sources,0.174,0.015,0,0.83
16-085,"Lemon sole, steamed",Flesh only,0.206,0.009,0,0.91
16-044,"Haddock, raw",12 samples from assorted outlets; fillets,0.19,0.006,0,0.81
16-004,"Boal, raw",Literature sources. Imported frozen from Bangladesh,0.154,0.027,0,0.86
16-083,"Lemon sole, grilled","Calculated from raw, whole fish and fillets; flesh only",0.202,0.017,0,0.97
16-084,"Lemon sole, grilled, weighed with bones and skin",Calculated from grilled,0.129,0.011,0,0.62
16-075,"Halibut, grilled, weighed with bones and skin",Calculated from grilled,0.197,0.017,0,0.95
16-055,"Haddock, in batter, fried in sunflower oil","Samples as fried in retail blend oil, fatty acids calculated",0.171,0.14,0.1,2.32
16-065,"Haddock, smoked, raw","10 samples from assorted outlets, cutlets",0.19,0.006,0,0.81
16-050,"Haddock, steamed, weighed with bones and skin",Calculated from steamed 16-049,0.176,0.005,0,0.75
16-049,"Haddock, steamed","12 samples steamed for 20 minutes, fillets; flesh only",0.209,0.006,0,0.89
16-051,"Haddock, frozen, raw",11 samples from assorted supermarkets; steaks,0.173,0.005,0,0.74
16-048,"Haddock, poached, weighed with bones",Calculated from poached,0.15,0.037,0.009,0.96
16-052,"Haddock, in batter, fried in blended oil","Samples as fried in retail blend oil, fatty acids calculated",0.171,0.14,0.1,2.32
16-047,"Haddock, poached","Fish 100g, milk 25g and butter 4g. Calculated from raw cutlets; flesh only",0.177,0.043,0.011,1.13
16-054,"Haddock, in batter, fried in retail blend oil","20 samples purchased from fish and chip shops, fatty acids calculated",0.171,0.14,0.1,2.32
16-056,"Haddock, in flour, fried in blended oil","12 samples, shallow fried in blended oil for 7 minutes per side, fillets; flesh only",0.211,0.041,0.045,1.38
16-046,"Haddock, grilled, weighed with bones",Calculated from grilled,0.226,0.007,0,0.97
16-064,"Haddock, coated in crumbs, frozen, fried in blended oil, weighed with bones and ",Calculated from fried in blended oil 16-063,0.118,0.08,0.101,1.57
16-063,"Haddock, coated in crumbs, frozen, fried in blended oil","10 samples, 7 brands; shallow fried in blended oil for 10-15 minutes per side",0.147,0.1,0.126,1.96
16-053,"Haddock, in batter, fried in dripping","Samples as fried in retail blend oil, fatty acids calculated",0.171,0.14,0.1,2.32
16-061,"Haddock, in flour, fried in sunflower oil, weighed with bones and skin",Calculated from fried in sunflower oil,0.184,0.036,0.039,1.2
16-057,"Haddock, in flour, fried in blended oil, weighed with bones and skin",Calculated from fried in blended oil,0.184,0.036,0.039,1.2
16-060,"Haddock, in flour, fried in sunflower oil","12 samples, shallow fried in sunflower oil for 7 minutes per side, fillets; flesh only",0.211,0.041,0.045,1.38
16-045,"Haddock, grilled","Calculated from raw, fillets; flesh only",0.243,0.008,0,1.04
16-059,"Haddock, in flour, fried in dripping, weighed with bones and skin",Calculated from fried in dripping,0.184,0.036,0.039,1.2
16-058,"Haddock, in flour, fried in dripping","12 samples, shallow fried in dripping for 7 minutes per side, fillets; flesh only",0.211,0.041,0.045,1.38
16-062,"Haddock, coated in crumbs, frozen, raw","10 samples, 7 brands; fillets and steaks",0.138,0.052,0.105,1.41
14-282,"Orange juice, freshly squeezed, weighed as whole fruit",Calculated from 281,0.003,0,0.037,0.15
14-276,"Grapefruit juice concentrate, unsweetened","8 samples, 50.4 Brix; imported commercial concentrate",0.022,0.005,0.408,1.66
14-274,Grape juice concentrate,"5 samples, red and white juice, 65.6 Brix; imported commercial concentrate",0.01,0.004,0.587,2.28
14-288,"Pomegranate juice, fresh",Juice from fresh fruit,0.002,0,0.116,0.44
14-285,Passion fruit juice,"Refs. 3, 4",0.008,0.001,0.107,0.47
14-280,"Mango juice, canned","Refs. 11, 10",0.001,0.002,0.098,0.39
14-279,"Lime juice, fresh",Ref. 3,0.004,0.001,0.016,0.09
14-278,"Lemon juice, fresh, weighed as whole fruit",Calculated from 14-277,0.001,0,0.006,0.02
14-289,Prune juice,4 bottled samples; 2 brands,0.005,0.001,0.144,0.57
14-281,"Orange juice, freshly squeezed",Strained juice from fresh oranges,0.006,0,0.081,0.33
14-196,"Pears, dried","3 samples, 3 brands and calculation from 192",0.016,0.005,0.524,2.07
14-204,"Pears, William, raw, weighed with core",Calculated from 14-203,0.003,0.001,0.075,0.3
14-203,"Pears, William, raw",10 samples; flesh and skin,0.004,0.001,0.083,0.34
14-192,"Pears, average, raw, peeled",Literature sources and calculation from 14-190; flesh only,0.003,0.001,0.104,0.41
14-202,"Pears, Conference, raw, weighed with core",Calculated from 14-201,0.003,0.003,0.12,0.49
14-193,"Pears, average, raw, peeled, weighed with skin and core",Calculated from 14-192,0.002,0.001,0.073,0.29
14-194,"Pears, average, stewed with sugar","Calculation from 1000g fruit, 190g water, 120g sugar",0.002,0.001,0.219,0.83
14-201,"Pears, Conference, raw",10 samples; flesh and skin,0.003,0.003,0.132,0.53
14-197,"Pears, canned in juice","10 samples, 7 brands. Drained proportion = 0.60",0.003,0,0.085,0.33
14-200,"Pears, Comice, raw, weighed with core",Calculated from 14-199,0.003,0,0.077,0.3
14-199,"Pears, Comice, raw",10 samples; flesh and skin,0.003,0,0.085,0.33
14-198,"Pears, canned in syrup","10 samples, 8 brands.  Drained proportion = 0.61",0.002,0,0.132,0.5
14-205,"Pears, Nashi, raw",6 samples; flesh and skin,0.003,0.001,0.071,0.29
14-195,"Pears, average, stewed without sugar","Calculated from 1000g fruit, 190g water",0.003,0.001,0.091,0.35
14-220,"Plums, Victoria, raw",Flesh and skin,0.006,0.001,0.096,0.39
14-228,Pomelo,Literature sources; flesh only,0.006,0.002,0.068,0.3
14-227,"Pomegranate, weighed with skin",Calculated from 14-226,0.009,0.001,0.077,0.33
14-226,Pomegranate,Analysis and literature sources; flesh and pips,0.013,0.002,0.118,0.51
14-225,"Plums, yellow, raw, weighed with stones",Calculated from 14-224,0.005,0.001,0.057,0.24
14-154,"Melon, average, weighed whole",Calculated from 14-153,0.004,0.001,0.034,0.15
14-191,"Pears, average, raw, weighed with core",Calculated from 14-190,0.003,0.001,0.091,0.36
14-223,"Plums, Victoria, stewed without sugar, weighed with stones",Calculated from 14-222,0.005,0.001,0.079,0.33
14-222,"Plums, Victoria, stewed without sugar","700g fruit, 100g water; stones removed",0.005,0.001,0.083,0.34
14-206,"Pears, Nashi, weighed with core",Calculated from 14-205,0.003,0.001,0.063,0.26
14-317,"Plums, average, stewed without sugar, weighed with stones",Calculated from 14-315,0.005,0.001,0.069,0.29
14-212,"Pineapple, canned in syrup","10 samples, 10 brands; cubes and slices. Drained proportion = 0.56",0.005,0,0.165,0.64
14-211,"Pineapple, canned in juice","10 samples, 10 brands; cubes and slices. Drained proportion = 0.54",0.003,0,0.122,0.47
14-210,"Pineapple, dried",2 samples and calculation from 14-208,0.025,0.013,0.679,2.76
14-209,"Pineapple, raw, weighed with skin and top",Calculated from 14-208,0.002,0.001,0.053,0.22
14-208,"Pineapple, raw",10 samples; flesh only,0.004,0.002,0.101,0.41
14-207,Phyalis,Ref. 4; fruit only,0.018,0.002,0.111,0.53
14-224,"Plums, yellow, raw",Ref. 2; flesh and skin,0.005,0.001,0.059,0.25
14-151,Mangosteen,Literature sources; flesh only,0.006,0.005,0.164,0.73
14-159,"Melon, Galia",11 samples; flesh only,0.005,0.001,0.056,0.24
14-163,"Melon, Honeydew, weighed whole",Calculated from 14-162,0.004,0.001,0.042,0.18
14-162,"Melon, Honeydew",10 samples; flesh only,0.006,0.001,0.066,0.28
14-161,"Melon, Galia, weighed with skin",Calculated from 14-159; no pips,0.003,0.001,0.038,0.16
14-160,"Melon, Galia, weighed whole",Calculated from 14-159,0.003,0.001,0.036,0.16
14-155,"Melon, average, weighed with skin",Calculated from 14-153; no pips,0.004,0.001,0.036,0.16
14-167,Mixed peel,"10 samples, 9 brands",0.003,0.009,0.591,2.31
14-152,Medlars,Flesh only,0.005,0,0.106,0.42
14-168,"Mulberries, raw",Whole fruit,0.013,0,0.081,0.36
14-150,"Mangoes, ripe, canned in syrup",10 samples,0.003,0,0.203,0.77
14-147,"Mandarin oranges, canned in syrup","10 samples, 10 brands. Drained proportion = 0.56",0.005,0,0.134,0.52
14-229,"Pomelo, weighed with peel and pips",Calculated from 14-228,0.004,0.001,0.041,0.18
14-297,Nectarines,10 samples; flesh and skin,0.014,0.001,0.09,0.4
14-146,"Mandarin oranges, canned in juice","10 samples, 4 brands. Drained proportion = 0.56",0.007,0,0.077,0.32
14-145,Mammie apple,Literature sources; flesh only,0.005,0.004,0.144,0.6
14-153,"Melon, average","Average of Canteloupe-type, Galia and Honeydew varieties; flesh only",0.006,0.001,0.055,0.24
14-179,"Passion fruit, weighed with skin",Calculated from 14-178,0.017,0.002,0.035,0.22
14-189,"Peaches, canned in syrup","10 samples, 9 brands; halves and slices. Drained proportion = 0.62",0.005,0,0.14,0.55
14-188,"Peaches, canned in juice","10 samples, 7 brands; halves and slices. Drained proportion = 0.68",0.006,0,0.097,0.39
14-187,"Peaches, dried, stewed without sugar","Calculated from 450g fruit, 770g water",0.014,0.003,0.217,0.89
14-186,"Peaches, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",0.013,0.003,0.257,1.04
14-185,"Peaches, dried",No stones,0.034,0.008,0.53,2.19
14-182,"Paw-paw, canned in juice",10 samples. Drained proportion = 0.59,0.002,0,0.17,0.65
14-164,"Melon, Honeydew, weighed with skin",Calculated from 14-162; no pips,0.004,0.001,0.043,0.19
14-180,"Paw-paw, raw",Literature sources; flesh only,0.005,0.001,0.088,0.36
14-190,"Pears, average, raw","Average of Comice, Conference and Williams varieties; flesh and skin",0.003,0.001,0.1,0.4
14-178,Passion fruit,Analysis and literature sources; flesh and pips,0.026,0.004,0.058,0.36
14-177,Ortaniques,Ref. 1; flesh only,0.01,0.002,0.117,0.49
14-174,"Olives, in brine, weighed with stones",Calculated from 14-173,0.007,0.088,0,0.82
14-173,"Olives, in brine","Bottled, drained; flesh and skin, green",0.009,0.11,0,1.03
14-170,"Mulberries, stewed without sugar","Calculated from 700g fruit, 210g water",0.011,0,0.069,0.3
14-169,"Mulberries, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",0.01,0,0.162,0.65
14-181,"Paw-paw, raw, weighed with skin and pips",Calculated from 14-180,0.004,0.001,0.066,0.27
14-290,"Apricots, canned in syrup","10 samples, 9 brands",0.004,0.001,0.161,0.63
14-264,Tamarillos,Literature sources; flesh and seeds,0.02,0.003,0.047,0.28
14-299,"Peaches, raw",10 samples; flesh and skin,0.01,0.001,0.076,0.33
14-298,Oranges,Assorted varieties; flesh only,0.011,0.001,0.085,0.37
14-296,"Melon, watermelon",Literature sources; flesh only,0.005,0.003,0.071,0.31
14-294,"Mangoes, ripe, raw",Literature sources; flesh only,0.007,0.002,0.141,0.57
14-293,Kiwi fruit,"Analysis and literature sources, flesh and seeds",0.011,0.005,0.106,0.49
14-302,"Apricots, canned in juice","10 samples, 5 brands",0.005,0.001,0.084,0.34
14-291,Clementines,10 samples; flesh only,0.009,0.001,0.087,0.37
14-303,"Fruit salad, homemade",Recipe,0.007,0.001,0.148,0.6
14-270,"Whitecurrants, stewed without sugar","Calculated from 700g fruit, 210g water",0.011,0,0.048,0.22
14-269,"Whitecurrants, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",0.01,0,0.142,0.57
14-268,"Whitecurrants, raw","Whole fruit, stalks removed",0.013,0,0.056,0.26
14-267,"Tangerines, weighed with peel and pips",Calculated from 14-266,0.007,0.001,0.058,0.25
14-266,Tangerines,Flesh only,0.009,0.001,0.08,0.35
14-295,"Melon, Canteloupe-type","10 samples, Canteloupe, Charantais and Rock; flesh only",0.006,0.001,0.042,0.19
14-292,"Grapefruit, raw",10 samples; flesh only,0.008,0.001,0.068,0.3
14-310,"Nectarines, weighed with stones",Calculated from 14-297,0.012,0.001,0.08,0.36
14-219,"Plums, canned in syrup","10 samples, 7 brands; red, golden and Victoria; no stones",0.003,0,0.155,0.59
14-144,"Lychees, canned in syrup",Analysis and literature sources. Drained proportion = 0.50,0.004,0,0.177,0.68
14-316,"Plums, average, stewed with sugar, weighed with stones",Calculated from 14-314,0.005,0.001,0.17,0.67
14-315,"Plums, average, stewed without sugar","500g fruit, 100g water; stones removed",0.005,0.001,0.073,0.3
14-314,"Plums, average, stewed with sugar","1350g fruit, 100g water, 162g sugar; stones removed",0.005,0.001,0.179,0.7
14-313,"Plums, average, raw, weighed with stones",Calculated from 14-300,0.005,0.001,0.083,0.34
14-300,"Plums, average, raw",Assorted varieties; flesh and skin,0.006,0.001,0.088,0.36
14-311,"Oranges, weighed with peel and pips",Calculated from 14-298,0.008,0.001,0.059,0.26
14-263,Sultanas,"10 samples, 9 brands; whole fruit",0.027,0.004,0.694,2.75
14-309,"Melon, watermelon, weighed whole",Calculated from 14-296,0.003,0.002,0.04,0.18
14-308,"Melon, Canteloupe-type, weighed with skin",Calculated from 14-295; no pips,0.004,0.001,0.028,0.13
14-307,"Melon, Canteloupe-type, weighed whole",Calculated from 14-295,0.004,0.001,0.025,0.12
14-306,"Mangoes, ripe, raw, weighed with skin and stone",Calculated from 14-294,0.005,0.001,0.096,0.39
14-305,"Kiwi fruit, weighed with skin",Calculated from 14-293,0.01,0.004,0.091,0.42
14-304,"Grapefruit, raw, weighed with peel and pips",Calculated from 14-292,0.005,0.001,0.046,0.2
14-312,"Peaches, raw, weighed with stone",Calculated from 14-299,0.009,0.001,0.068,0.3
14-237,"Prunes, canned in juice",10 samples; stones removed. Drained proportion = 0.46,0.007,0.002,0.197,0.79
14-265,Tamarind,Literature sources,0.023,0.003,0.565,2.38
14-244,"Raspberries, raw",9 samples; whole fruit,0.014,0.003,0.046,0.25
14-243,Rambutan,Literature sources; flesh only,0.01,0.004,0.163,0.69
14-242,Raisins,"10 samples, 8 brands.  Large stoned variety",0.021,0.004,0.693,2.72
14-241,Quinces,Flesh only,0.003,0.001,0.063,0.26
14-240,"Prunes, ready-to-eat, weighed with stones",Calculated from 14-239,0.021,0.003,0.292,1.21
14-246,"Raspberries, stewed without sugar","Calculated from 700g fruit, 105g water",0.014,0.003,0.044,0.24
14-238,"Prunes, canned in syrup","11 samples, 6 brands; stones removed, Drained proportion = 0.64",0.006,0.002,0.23,0.9
14-247,"Raspberries, frozen","10 samples, 5 brands",0.012,0.003,0.049,0.26
14-236,"Prunes, stewed without sugar, weighed with stones",Calculated from 235,0.013,0.002,0.178,0.74
14-235,"Prunes, stewed without sugar","Calculated from 450g fruit, 450g water",0.014,0.003,0.195,0.81
14-234,"Prunes, stewed with sugar, weighed with stones",Calculated from 233,0.012,0.002,0.235,0.95
14-233,"Prunes, stewed with sugar","Calculated from 450g fruit, 450g water, 54g sugar",0.013,0.002,0.255,1.03
14-232,"Prunes, weighed with stones",Calculated from 14-231,0.024,0.004,0.323,1.34
14-231,Prunes,No stones,0.028,0.005,0.384,1.6
14-239,"Prunes, ready-to-eat",4 samples; semi-dried,0.025,0.004,0.34,1.41
14-254,"Rhubarb, stewed without sugar","500g fruit, 50g water and calculation from 14-253",0.009,0.001,0.007,0.07
14-262,"Strawberries, canned in syrup","10 samples,  Drained proportion = 0.38",0.005,0,0.169,0.65
14-261,"Strawberries, frozen","6 samples, 3 brands",0.007,0.001,0.078,0.33
14-260,"Strawberries, raw",9 samples; flesh and pips,0.008,0.001,0.06,0.27
14-259,Sharon fruit,7 samples; flesh only,0.008,0,0.186,0.73
14-258,"Satsumas, weighed with peel",Calculated from 14-257,0.006,0.001,0.06,0.26
14-257,Satsumas,10 samples; flesh only,0.009,0.001,0.085,0.36
14-245,"Raspberries, stewed with sugar","Calculated from 700g fruit, 105g water, 84g sugar",0.012,0.003,0.15,0.63
14-255,"Rhubarb, canned in syrup","10 samples, 6 brands.  Drained proportion = 0.56",0.005,0,0.076,0.31
14-230,Prickly pears,Literature sources; flesh and seeds,0.007,0.003,0.115,0.49
14-253,"Rhubarb, stewed with sugar","1000g fruit, 100g water, 120g sugar",0.009,0.001,0.115,0.48
14-252,"Rhubarb, raw",Stems only,0.009,0.001,0.008,0.07
